name,l,b,RA,Dec,dista,x,y,z
 2HWC J0534+220 ,184.546552486,-5.78316902994,83.6279,22.0243,100,20.577172860518356,184.25956199890058,74.99995846026627
 2HWC J0631+169 ,195.614065248,3.5065705185800002,97.99799999999999,16.9968,100,-26.612222720501382,189.40377556550834,58.463658826701725
 2HWC J0635+180 ,195.036649733,4.69730506083,98.833,18.053,100,-29.19910350593564,187.89884495079082,61.97932252459951
 2HWC J0700+143 ,201.10261657200002,8.44016617008,105.117,14.3235,100,-50.5368200585071,187.0770695616816,49.47928720775817
 2HWC J0819+157 ,207.996715406,26.5239432688,124.98,15.7914,100,-110.33076457849997,157.6857833758477,54.42716333476191
 2HWC J1040+308 ,197.593515354,61.3145773212,160.225,30.8653,100,-161.55120837195292,58.08239973237654,102.6042977408367
 2HWC J1104+381 ,179.945352624,65.04672823770001,166.113,38.1585,100,-152.6643361241523,37.74384585774877,123.56780557911655
 2HWC J1309-054 ,311.11400418,57.096620976000004,197.31400000000002,-5.49179,100,-190.06120315187007,-59.248422525164976,-19.14062393818715
 2HWC J1653+397 ,63.6389089905,38.8546504689,253.477,39.7899,100,-43.706417640870754,-147.33318372984138,127.99485157236046
 2HWC J1809-190 ,11.3339381775,0.17889446010200002,272.461,-19.0366,100,8.118202322629704,-188.88770700400016,-65.2344152562115
 2HWC J1812-126 ,17.2935842911,2.62796517378,273.20799999999997,-12.6356,100,10.921119514829623,-194.8503890864543,-43.74991453020422
 2HWC J1814-173 ,13.3305898596,0.130698009895,273.51599999999996,-17.3091,100,11.709995018503975,-190.58330211855326,-59.505302034817554
 2HWC J1819-150* ,15.9143291434,0.088210534231,274.834,-15.0562,100,16.275264972957086,-192.447325283776,-51.95327459535688
 2HWC J1825-134 ,18.1153885527,-0.526401503612,276.46,-13.4014,100,21.889186322120647,-193.31875022670556,-46.35433456474293
 2HWC J1829+070 ,36.7191909936,8.09327082165,277.339,7.03039,100,25.355862527358273,-196.87013784295937,24.479155646955864
 2HWC J1831-098 ,21.8585284364,-0.1179344275,277.866,-9.89685,100,26.964029205257734,-195.16992933835698,-34.37498816114355
 2HWC J1837-065 ,25.4838504736,0.0984602838147,279.36,-6.57959,100,32.31319583986977,-196.0374561953974,-22.916656454462625
 2HWC J1844-032 ,29.2283763223,0.106454675716,281.074,-3.24701,100,38.353659141076086,-195.9608893063569,-11.32813721455935
 2HWC J1847-018 ,30.8916621879,-0.0271368837689,281.953,-1.82811,100,41.40076587124763,-195.56397754597378,-6.38022504869446
 2HWC J1849+001 ,32.8188127654,0.466186818121,282.393,0.11190599999999999,100,42.92311863744864,-195.33932860088953,0.39062538219351306
 2HWC J1852+013* ,34.228129174,0.497199981021,283.008,1.38031,100,45.004357135428286,-194.81118388489145,4.817724794323525
 2HWC J1857+027 ,36.0912386777,-0.0278062011136,284.32599999999996,2.7987599999999997,100,49.428713272910144,-193.54956667753825,9.765630707824903
 2HWC J1902+048* ,38.4614889248,-0.14110819931500002,285.513,4.85506,100,53.299474132614336,-192.0224985122908,16.92708250951873
 2HWC J1907+084* ,42.2794143163,0.4067060251,286.78700000000003,8.498669999999999,100,57.12863853116242,-189.37445770162736,29.557290636834754
 2HWC J1908+063 ,40.529496888800004,-0.795383113518,287.051,6.3918800000000005,100,58.28001075210109,-190.02021621407204,22.265618713440002
 2HWC J1912+099 ,44.1538071296,-0.08462144936049999,288.105,9.93472,100,61.219905461142474,-187.24720030756,34.50520471333696
 2HWC J1914+117* ,45.995775132700004,0.245970166935,288.677,11.7198,100,62.71134680648213,-185.51788413379924,40.62513567036238
 2HWC J1921+131 ,47.9874268712,-0.497071998756,290.303,13.1331,100,67.58186529358336,-182.66812670390257,45.44278787582184
 2HWC J1922+140 ,49.014674901999996,-0.383747528755,290.698,14.0926,100,68.5609614645023,-181.46047585094703,48.697949310118894
 2HWC J1928+177 ,52.92045426439999,0.139789412086,292.14799999999997,17.7785,100,71.79926469846745,-176.39618419037328,61.06760018074486
 2HWC J1930+188 ,54.0718066449,0.244871572367,292.632,18.8394,100,72.83911432555792,-174.70964031857693,64.58331831070447
 2HWC J1938+238 ,59.367672178199996,0.9401731395880001,294.741,23.8063,100,76.58153542857328,-166.18684653359503,80.72917979653643
 2HWC J1949+244 ,61.1561922009,-0.852894348911,297.422,24.4603,100,83.84127672683549,-161.59432444292582,82.81252697900615
 2HWC J1953+294 ,65.8559999471,1.0731677935600001,298.257,29.4845,100,82.4226371357949,-153.35104929682177,98.43761764257006
 2HWC J1955+285 ,65.34550357,0.18352305661600002,298.828,28.5885,100,84.67875683052218,-153.8519417342602,95.7031251644119
 2HWC J2006+341 ,71.3257816644,1.15901109926,301.553,34.1838,100,86.57674069737405,-140.98749366699528,112.36990077293223
 2HWC J2019+367 ,75.0235007843,0.300504108553,304.937,36.7953,100,91.7174569789614,-131.29312573548927,119.79158242513275
 2HWC J2020+403 ,78.0719889671,2.1859082599,305.156,40.3749,100,87.73214463138545,-124.5712286837527,129.55724519531068
 2HWC J2024+417* ,79.5891815097,2.43148569203,306.035,41.7603,100,87.76394308804662,-120.64165901345089,133.20315463276523
 2HWC J2031+415 ,80.2097750386,1.1381215168899999,307.925,41.5107,100,92.05083472276134,-118.13812338201664,132.55198086267248
