name,l,b,RA,Dec,distance,x,y,z
 2HWC J0534+220 ,184.546552486,-5.78316902994,83.6279,22.0243,100,10.288586430259178,92.12978099945029,37.499979230133135
 2HWC J0631+169 ,195.614065248,3.5065705185800002,97.99799999999999,16.9968,100,-13.306111360250691,94.70188778275417,29.231829413350862
 2HWC J0635+180 ,195.036649733,4.69730506083,98.833,18.053,100,-14.59955175296782,93.94942247539541,30.989661262299755
 2HWC J0700+143 ,201.10261657200002,8.44016617008,105.117,14.3235,100,-25.26841002925355,93.5385347808408,24.739643603879085
 2HWC J0819+157 ,207.996715406,26.5239432688,124.98,15.7914,100,-55.16538228924998,78.84289168792385,27.213581667380954
 2HWC J1040+308 ,197.593515354,61.3145773212,160.225,30.8653,100,-80.77560418597646,29.04119986618827,51.30214887041835
 2HWC J1104+381 ,179.945352624,65.04672823770001,166.113,38.1585,100,-76.33216806207615,18.871922928874383,61.783902789558276
 2HWC J1309-054 ,311.11400418,57.096620976000004,197.31400000000002,-5.49179,100,-95.03060157593504,-29.624211262582488,-9.570311969093575
 2HWC J1653+397 ,63.6389089905,38.8546504689,253.477,39.7899,100,-21.853208820435377,-73.66659186492069,63.99742578618023
 2HWC J1809-190 ,11.3339381775,0.17889446010200002,272.461,-19.0366,100,4.059101161314852,-94.44385350200008,-32.61720762810575
 2HWC J1812-126 ,17.2935842911,2.62796517378,273.20799999999997,-12.6356,100,5.460559757414812,-97.42519454322715,-21.87495726510211
 2HWC J1814-173 ,13.3305898596,0.130698009895,273.51599999999996,-17.3091,100,5.854997509251987,-95.29165105927663,-29.752651017408777
 2HWC J1819-150* ,15.9143291434,0.088210534231,274.834,-15.0562,100,8.137632486478543,-96.223662641888,-25.97663729767844
 2HWC J1825-134 ,18.1153885527,-0.526401503612,276.46,-13.4014,100,10.944593161060324,-96.65937511335278,-23.177167282371464
 2HWC J1829+070 ,36.7191909936,8.09327082165,277.339,7.03039,100,12.677931263679136,-98.43506892147968,12.239577823477932
 2HWC J1831-098 ,21.8585284364,-0.1179344275,277.866,-9.89685,100,13.482014602628867,-97.58496466917849,-17.187494080571774
 2HWC J1837-065 ,25.4838504736,0.0984602838147,279.36,-6.57959,100,16.156597919934885,-98.0187280976987,-11.458328227231313
 2HWC J1844-032 ,29.2283763223,0.106454675716,281.074,-3.24701,100,19.176829570538043,-97.98044465317845,-5.664068607279675
 2HWC J1847-018 ,30.8916621879,-0.0271368837689,281.953,-1.82811,100,20.700382935623814,-97.78198877298689,-3.19011252434723
 2HWC J1849+001 ,32.8188127654,0.466186818121,282.393,0.11190599999999999,100,21.46155931872432,-97.66966430044477,0.19531269109675653
 2HWC J1852+013* ,34.228129174,0.497199981021,283.008,1.38031,100,22.502178567714143,-97.40559194244572,2.4088623971617626
 2HWC J1857+027 ,36.0912386777,-0.0278062011136,284.32599999999996,2.7987599999999997,100,24.714356636455072,-96.77478333876913,4.882815353912451
 2HWC J1902+048* ,38.4614889248,-0.14110819931500002,285.513,4.85506,100,26.649737066307168,-96.0112492561454,8.463541254759365
 2HWC J1907+084* ,42.2794143163,0.4067060251,286.78700000000003,8.498669999999999,100,28.56431926558121,-94.68722885081368,14.778645318417377
 2HWC J1908+063 ,40.529496888800004,-0.795383113518,287.051,6.3918800000000005,100,29.140005376050546,-95.01010810703602,11.132809356720001
 2HWC J1912+099 ,44.1538071296,-0.08462144936049999,288.105,9.93472,100,30.609952730571237,-93.62360015378,17.25260235666848
 2HWC J1914+117* ,45.995775132700004,0.245970166935,288.677,11.7198,100,31.355673403241067,-92.75894206689962,20.31256783518119
 2HWC J1921+131 ,47.9874268712,-0.497071998756,290.303,13.1331,100,33.79093264679168,-91.33406335195129,22.72139393791092
 2HWC J1922+140 ,49.014674901999996,-0.383747528755,290.698,14.0926,100,34.28048073225115,-90.73023792547352,24.348974655059447
 2HWC J1928+177 ,52.92045426439999,0.139789412086,292.14799999999997,17.7785,100,35.89963234923373,-88.19809209518664,30.53380009037243
 2HWC J1930+188 ,54.0718066449,0.244871572367,292.632,18.8394,100,36.41955716277896,-87.35482015928847,32.291659155352235
 2HWC J1938+238 ,59.367672178199996,0.9401731395880001,294.741,23.8063,100,38.29076771428664,-83.09342326679752,40.364589898268214
 2HWC J1949+244 ,61.1561922009,-0.852894348911,297.422,24.4603,100,41.920638363417744,-80.79716222146291,41.406263489503075
 2HWC J1953+294 ,65.8559999471,1.0731677935600001,298.257,29.4845,100,41.21131856789745,-76.67552464841089,49.21880882128503
 2HWC J1955+285 ,65.34550357,0.18352305661600002,298.828,28.5885,100,42.33937841526109,-76.9259708671301,47.85156258220595
 2HWC J2006+341 ,71.3257816644,1.15901109926,301.553,34.1838,100,43.288370348687025,-70.49374683349764,56.18495038646611
 2HWC J2019+367 ,75.0235007843,0.300504108553,304.937,36.7953,100,45.8587284894807,-65.64656286774463,59.89579121256637
 2HWC J2020+403 ,78.0719889671,2.1859082599,305.156,40.3749,100,43.866072315692726,-62.28561434187635,64.77862259765534
 2HWC J2024+417* ,79.5891815097,2.43148569203,306.035,41.7603,100,43.88197154402331,-60.320829506725445,66.60157731638262
 2HWC J2031+415 ,80.2097750386,1.1381215168899999,307.925,41.5107,100,46.02541736138067,-59.06906169100832,66.27599043133624
